name,crossing_number,l12,l13,l23,l_sum_abs,l_prod,linking_matrix
"L6a4{0,0}",6,0,0,0,0,0,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}"
"L6a4{1,0}",6,0,0,0,0,0,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}"
"L6a4{0,1}",6,0,0,0,0,0,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}"
"L6a4{1,1}",6,0,0,0,0,0,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}"
"L6a5{0,0}",6,-1,-1,-1,3,-1,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}"
"L6a5{1,0}",6,1,-1,1,3,-1,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}"
"L6a5{0,1}",6,-1,1,1,3,-1,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}"
"L6a5{1,1}",6,1,1,-1,3,-1,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}"
"L6n1{0,0}",6,-1,1,1,3,-1,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}"
"L6n1{1,0}",6,1,1,-1,3,-1,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}"
"L6n1{0,1}",6,-1,-1,-1,3,-1,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}"
"L6n1{1,1}",6,1,-1,1,3,-1,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}"
"L7a7{0,0}",7,-1,-1,1,3,1,"{{0, -1, -1}, {-1, 0, 1}, {-1, 1, 0}}"
"L7a7{1,0}",7,1,-1,-1,3,1,"{{0, 1, -1}, {1, 0, -1}, {-1, -1, 0}}"
"L7a7{0,1}",7,-1,1,-1,3,1,"{{0, -1, 1}, {-1, 0, -1}, {1, -1, 0}}"
"L7a7{1,1}",7,1,1,1,3,1,"{{0, 1, 1}, {1, 0, 1}, {1, 1, 0}}"
"L8a15{0,0}",8,-1,-1,-1,3,-1,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}"
"L8a15{1,0}",8,1,-1,1,3,-1,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}"
"L8a15{0,1}",8,-1,1,1,3,-1,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}"
"L8a15{1,1}",8,1,1,-1,3,-1,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}"
"L8a16{0,0}",8,0,0,1,1,0,"{{0, 0, 0}, {0, 0, 1}, {0, 1, 0}}"
"L8a16{1,0}",8,0,0,-1,1,0,"{{0, 0, 0}, {0, 0, -1}, {0, -1, 0}}"
"L8a16{0,1}",8,0,0,-1,1,0,"{{0, 0, 0}, {0, 0, -1}, {0, -1, 0}}"
"L8a16{1,1}",8,0,0,1,1,0,"{{0, 0, 0}, {0, 0, 1}, {0, 1, 0}}"
"L8a17{0,0}",8,-1,-1,-2,4,-2,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}"
"L8a17{1,0}",8,1,-1,2,4,-2,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}"
"L8a17{0,1}",8,-1,1,2,4,-2,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}"
"L8a17{1,1}",8,1,1,-2,4,-2,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}"
"L8a18{0,0}",8,-1,1,2,4,-2,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}"
"L8a18{1,0}",8,1,1,-2,4,-2,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}"
"L8a18{0,1}",8,-1,-1,-2,4,-2,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}"
"L8a18{1,1}",8,1,-1,2,4,-2,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}"
"L8a19{0,0}",8,-1,1,0,2,0,"{{0, -1, 1}, {-1, 0, 0}, {1, 0, 0}}"
"L8a19{1,0}",8,1,1,0,2,0,"{{0, 1, 1}, {1, 0, 0}, {1, 0, 0}}"
"L8a19{0,1}",8,-1,-1,0,2,0,"{{0, -1, -1}, {-1, 0, 0}, {-1, 0, 0}}"
"L8a19{1,1}",8,1,-1,0,2,0,"{{0, 1, -1}, {1, 0, 0}, {-1, 0, 0}}"
"L8a20{0,0}",8,-2,0,2,4,0,"{{0, -2, 0}, {-2, 0, 2}, {0, 2, 0}}"
"L8a20{1,0}",8,2,0,-2,4,0,"{{0, 2, 0}, {2, 0, -2}, {0, -2, 0}}"
"L8a20{0,1}",8,-2,0,-2,4,0,"{{0, -2, 0}, {-2, 0, -2}, {0, -2, 0}}"
"L8a20{1,1}",8,2,0,2,4,0,"{{0, 2, 0}, {2, 0, 2}, {0, 2, 0}}"
"L8n3{0,0}",8,-1,-1,-2,4,-2,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}"
"L8n3{1,0}",8,1,-1,2,4,-2,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}"
"L8n3{0,1}",8,-1,1,2,4,-2,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}"
"L8n3{1,1}",8,1,1,-2,4,-2,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}"
"L8n4{0,0}",8,-1,1,-2,4,2,"{{0, -1, 1}, {-1, 0, -2}, {1, -2, 0}}"
"L8n4{1,0}",8,1,1,2,4,2,"{{0, 1, 1}, {1, 0, 2}, {1, 2, 0}}"
"L8n4{0,1}",8,-1,-1,2,4,2,"{{0, -1, -1}, {-1, 0, 2}, {-1, 2, 0}}"
"L8n4{1,1}",8,1,-1,-2,4,2,"{{0, 1, -1}, {1, 0, -2}, {-1, -2, 0}}"
"L8n5{0,0}",8,0,0,-2,2,0,"{{0, 0, 0}, {0, 0, -2}, {0, -2, 0}}"
"L8n5{1,0}",8,0,0,2,2,0,"{{0, 0, 0}, {0, 0, 2}, {0, 2, 0}}"
"L8n5{0,1}",8,0,0,2,2,0,"{{0, 0, 0}, {0, 0, 2}, {0, 2, 0}}"
"L8n5{1,1}",8,0,0,-2,2,0,"{{0, 0, 0}, {0, 0, -2}, {0, -2, 0}}"
"L8n6{0,0}",8,-2,0,-2,4,0,"{{0, -2, 0}, {-2, 0, -2}, {0, -2, 0}}"
"L8n6{1,0}",8,2,0,2,4,0,"{{0, 2, 0}, {2, 0, 2}, {0, 2, 0}}"
"L8n6{0,1}",8,-2,0,2,4,0,"{{0, -2, 0}, {-2, 0, 2}, {0, 2, 0}}"
"L8n6{1,1}",8,2,0,-2,4,0,"{{0, 2, 0}, {2, 0, -2}, {0, -2, 0}}"
"L9a43{0,0}",9,-1,-1,-1,3,-1,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}"
"L9a43{1,0}",9,1,-1,1,3,-1,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}"
"L9a43{0,1}",9,-1,1,1,3,-1,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}"
"L9a43{1,1}",9,1,1,-1,3,-1,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}"
"L9a44{0,0}",9,-1,-1,1,3,1,"{{0, -1, -1}, {-1, 0, 1}, {-1, 1, 0}}"
