name,crossing_number,volume,signature,linking_matrix,components
"L6a5{0,0}",6,5.33348956689812,2,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",3
"L6a5{1,0}",6,5.33348956689812,-2,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",3
"L6a5{0,1}",6,5.33348956689812,-2,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",3
"L6a5{1,1}",6,5.33348956689812,-2,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",3
"L8n4{0,0}",8,5.33348956689812,2,"{{0, -1, 1}, {-1, 0, -2}, {1, -2, 0}}",3
"L8n4{1,0}",8,5.33348956689812,-4,"{{0, 1, 1}, {1, 0, 2}, {1, 2, 0}}",3
"L8n4{0,1}",8,5.33348956689812,0,"{{0, -1, -1}, {-1, 0, 2}, {-1, 2, 0}}",3
"L8n4{1,1}",8,5.33348956689812,2,"{{0, 1, -1}, {1, 0, -2}, {-1, -2, 0}}",3
"L9n23{0,0}",9,5.33348956689812,4,"{{0, -1, -1}, {-1, 0, 0}, {-1, 0, 0}}",3
"L9n23{1,0}",9,5.33348956689812,2,"{{0, 1, -1}, {1, 0, 0}, {-1, 0, 0}}",3
"L9n23{0,1}",9,5.33348956689812,2,"{{0, -1, 1}, {-1, 0, 0}, {1, 0, 0}}",3
"L9n23{1,1}",9,5.33348956689812,0,"{{0, 1, 1}, {1, 0, 0}, {1, 0, 0}}",3
"L9n21{1,1}",9,5.33348956689812,0,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",3
"L9n21{0,1}",9,5.33348956689812,4,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",3
"L9n21{1,0}",9,5.33348956689812,0,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",3
"L9n21{0,0}",9,5.33348956689812,0,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",3
"L11n323{0,0}",11,5.33348956689812,6,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",3
"L11n323{1,0}",11,5.33348956689812,2,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",3
"L11n323{0,1}",11,5.33348956689812,2,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",3
"L11n323{1,1}",11,5.33348956689812,2,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",3
"L11n276{0,0}",11,5.33348956689812,6,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}",3
"L11n276{1,0}",11,5.33348956689812,0,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}",3
"L11n276{0,1}",11,5.33348956689812,0,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}",3
"L11n276{1,1}",11,5.33348956689812,2,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}",3
"L10n74{1,1}",10,5.33348956689812,2,"{{0, 1, 1}, {1, 0, -3}, {1, -3, 0}}",3
"L10n74{0,1}",10,5.33348956689812,-2,"{{0, -1, 1}, {-1, 0, 3}, {1, 3, 0}}",3
"L10n74{1,0}",10,5.33348956689812,-2,"{{0, 1, -1}, {1, 0, 3}, {-1, 3, 0}}",3
"L10n74{0,0}",10,5.33348956689812,6,"{{0, -1, -1}, {-1, 0, -3}, {-1, -3, 0}}",3
"L11n278{1,1}",11,5.33348956689812,-2,"{{0, 1, 1}, {1, 0, 0}, {1, 0, 0}}",3
"L11n278{0,1}",11,5.33348956689812,0,"{{0, -1, 1}, {-1, 0, 0}, {1, 0, 0}}",3
"L11n278{1,0}",11,5.33348956689812,0,"{{0, 1, -1}, {1, 0, 0}, {-1, 0, 0}}",3
"L11n278{0,0}",11,5.33348956689812,2,"{{0, -1, -1}, {-1, 0, 0}, {-1, 0, 0}}",3
"L11n420{0,0}",11,6.354586557200652,6,"{{0, -1, 0}, {-1, 0, -2}, {0, -2, 0}}",3
"L11n420{1,0}",11,6.354586557200652,0,"{{0, 1, 0}, {1, 0, 2}, {0, 2, 0}}",3
"L11n420{0,1}",11,6.354586557200652,2,"{{0, -1, 0}, {-1, 0, 2}, {0, 2, 0}}",3
